label,n_instances,n_images,median_box_px
complementary--one-direction-right--g1,88,71,44.3
information--bus-stop--g1,88,71,39.4
regulatory--left-turn-yield-on-green--g1,88,79,64.0
warning--trail-crossing--g2,88,77,82.2
regulatory--turn-right--g2,87,80,58.4
regulatory--maximum-speed-limit-40--g3,87,85,51.7
information--end-of-built-up-area--g1,85,73,87.8
warning--roadworks--g3,85,68,61.6
information--bike-route--g1,85,81,60.0
information--highway-exit--g1,85,84,66.4
complementary--go-right--g2,85,74,39.6
complementary--maximum-speed-limit-15--g1,84,82,57.8
information--safety-area--g2,83,83,81.3
warning--horizontal-alignment-right--g1,82,79,76.3
regulatory--maximum-speed-limit-100--g3,82,72,74.0
regulatory--turn-left-ahead--g1,81,77,40.6
regulatory--no-motorcycles--g1,81,72,54.8
warning--junction-with-a-side-road-acute-right--g1,81,80,70.6
warning--two-way-traffic--g2,80,71,52.3
warning--double-curve-first-left--g2,80,76,68.6
information--telephone--g2,80,72,47.8
complementary--turn-right--g2,79,73,46.3
regulatory--end-of-priority-road--g1,79,65,73.8
information--parking--g2,79,60,47.9
warning--traffic-merges-left--g1,78,73,55.7
complementary--one-direction-left--g1,78,70,51.7
warning--divided-highway-ends--g1,76,63,72.1
regulatory--end-of-prohibition--g1,76,70,48.0
complementary--maximum-speed-limit-25--g1,76,68,61.3
warning--bicycles-crossing--g2,75,74,79.1
regulatory--stop-here-on-red-or-flashing-light--g1,75,71,98.9
information--pedestrians-crossing--g2,74,68,67.1
information--children--g1,74,70,69.5
complementary--keep-right--g1,74,68,34.7
warning--railroad-crossing-without-barriers--g1,74,57,59.3
regulatory--road-closed--g2,73,63,76.5
warning--emergency-vehicles--g1,73,69,75.2
regulatory--keep-right--g2,73,67,62.0
regulatory--u-turn--g1,73,71,45.8
warning--railroad-crossing--g1,71,69,79.8
information--emergency-facility--g2,70,68,56.0
warning--railroad-crossing--g4,70,51,78.9
complementary--maximum-speed-limit-55--g1,69,62,50.8
regulatory--no-pedestrians--g1,69,66,51.6
complementary--chevron-right--g4,68,45,76.2
warning--steep-ascent--g7,68,65,87.1
warning--road-widens-right--g1,68,67,62.5
regulatory--no-straight-through--g1,68,63,57.4
information--parking--g6,68,64,35.6
information--living-street--g1,67,57,95.2
warning--traffic-signals--g2,67,56,63.0
complementary--pass-right--g1,66,65,53.6
regulatory--give-way-to-oncoming-traffic--g1,66,64,56.2
regulatory--buses-only--g1,66,60,57.3
regulatory--no-bicycles--g2,66,63,61.4
regulatory--wrong-way--g1,64,53,59.2
regulatory--no-bicycles--g1,64,62,49.2
complementary--trucks-turn-right--g1,64,62,81.5
regulatory--no-left-turn--g2,64,60,55.9
regulatory--maximum-speed-limit-led-100--g1,64,33,69.9
warning--two-way-traffic--g1,61,59,57.9
warning--wild-animals--g1,61,56,53.0
information--airport--g2,61,58,58.2
complementary--except-bicycles--g1,60,60,60.8
regulatory--go-straight--g3,59,41,61.5
warning--horizontal-alignment-left--g1,59,58,60.8
regulatory--pedestrians-only--g2,59,56,51.8
complementary--maximum-speed-limit-40--g1,59,53,52.5
warning--roadworks--g4,58,56,82.8
warning--falling-rocks-or-debris-right--g2,58,56,85.8
regulatory--go-straight-or-turn-left--g2,57,55,42.3
regulatory--dual-lanes-go-straight-on-left--g1,56,42,48.6
regulatory--no-motorcycles--g2,56,38,60.0
regulatory--keep-right--g6,54,50,39.3
warning--flaggers-in-road--g1,54,53,85.7
warning--narrow-bridge--g3,54,53,75.9
regulatory--maximum-speed-limit-led-60--g1,54,33,59.1
warning--railroad-crossing--g3,53,51,60.9
warning--hairpin-curve-right--g1,53,52,75.8
regulatory--no-overtaking-by-heavy-goods-vehicles--g1,53,37,48.6
information--trailer-camping--g1,53,53,58.1
regulatory--no-turn-on-red--g3,52,42,74.0
warning--road-narrows-left--g1,52,45,47.8
warning--double-reverse-curve-right--g1,52,38,44.1
regulatory--dual-path-bicycles-and-pedestrians--g1,52,49,48.3
regulatory--parking-restrictions--g2,51,48,84.3
warning--dual-lanes-right-turn-or-go-straight--g1,51,47,69.3
regulatory--go-straight-or-turn-right--g3,51,50,57.1
regulatory--no-motor-vehicles-except-motorcycles--g1,50,46,68.9
warning--roadworks--g2,50,42,61.4
regulatory--no-overtaking--g4,50,49,75.7
regulatory--do-not-block-intersection--g1,50,44,60.8
information--gas-station--g1,50,46,50.2
regulatory--end-of-bicycles-only--g1,50,50,45.7
warning--road-narrows--g2,50,44,80.8
warning--double-turn-first-right--g1,50,50,57.4
information--telephone--g1,50,43,41.8
regulatory--pass-on-either-side--g2,49,44,48.9
warning--road-widens--g1,48,45,50.7
warning--bicycles-crossing--g1,48,48,71.7
warning--crossroads-with-priority-to-the-right--g1,47,44,79.7
warning--pedestrians-crossing--g10,46,45,83.6
regulatory--no-buses--g3,46,44,67.2
complementary--maximum-speed-limit-70--g1,46,43,109.4
complementary--maximum-speed-limit-75--g1,46,45,56.3
warning--road-narrows-right--g1,46,45,55.6
warning--added-lane-right--g1,45,45,51.2
regulatory--triple-lanes-turn-left-center-lane--g1,45,36,77.2
regulatory--stop--g10,45,41,52.3
regulatory--end-of-maximum-speed-limit-70--g2,45,43,90.9
regulatory--stop--g2,45,45,59.8
regulatory--dual-lanes-go-straight-on-right--g1,44,37,43.7
regulatory--stop-signals--g1,44,37,76.9
regulatory--maximum-speed-limit-led-80--g1,44,25,69.0
regulatory--no-heavy-goods-vehicles--g5,44,42,70.7
complementary--buses--g1,44,42,74.3
regulatory--stop-here-on-red-or-flashing-light--g2,43,42,57.5
warning--railroad-crossing-with-barriers--g2,43,38,54.7
warning--falling-rocks-or-debris-right--g1,43,43,74.2
warning--y-roads--g1,43,38,39.1
warning--domestic-animals--g1,42,42,79.7
regulatory--end-of-no-parking--g1,42,35,77.0
regulatory--no-u-turn--g2,41,39,51.0
regulatory--passing-lane-ahead--g1,41,41,79.1
warning--uneven-road--g2,40,35,86.4
warning--t-roads--g2,40,33,59.8
regulatory--turn-right-ahead--g2,39,39,32.9
regulatory--no-stopping--g8,39,36,68.7
warning--wombat-crossing--g1,38,35,53.0
warning--domestic-animals--g3,37,37,63.1
information--interstate-route--g1,37,30,53.9
warning--other-danger--g3,37,35,71.6
regulatory--maximum-speed-limit-45--g1,36,36,50.0
information--airport--g1,36,34,51.8
regulatory--width-limit--g1,36,32,57.0
warning--slippery-motorcycles--g1,36,31,82.7
regulatory--maximum-speed-limit-25--g1,36,31,61.6
regulatory--no-bicycles--g3,35,32,54.4
warning--wild-animals--g4,34,33,51.3
warning--accidental-area-unsure--g2,34,32,126.2
regulatory--road-closed-to-vehicles--g1,34,26,35.0
warning--hairpin-curve-left--g1,34,34,70.7
warning--dip--g2,34,33,72.7
warning--bus-stop-ahead--g3,33,31,73.9
regulatory--bicycles-only--g3,33,31,51.2
warning--t-roads--g1,32,31,75.7
warning--pedestrians-crossing--g9,32,30,90.0
regulatory--text-four-lines--g1,32,30,57.1
warning--playground--g1,31,31,105.5
regulatory--road-closed--g1,31,27,55.0
regulatory--no-motor-vehicle-trailers--g1,30,30,65.4
regulatory--no-turns--g1,29,22,50.2
warning--winding-road-first-left--g2,29,29,45.3
warning--trams-crossing--g1,29,26,72.2
regulatory--minimum-safe-distance--g1,28,23,73.6
warning--winding-road-first-right--g3,28,27,64.1
regulatory--no-stopping--g4,28,26,89.4
regulatory--end-of-maximum-speed-limit-30--g2,28,27,56.3
complementary--priority-route-at-intersection--g1,27,25,64.1
warning--bicycles-crossing--g3,27,26,80.6
warning--falling-rocks-or-debris-right--g4,26,24,80.6
regulatory--maximum-speed-limit-65--g2,26,24,42.1
regulatory--no-mopeds-or-bicycles--g1,26,23,64.4
warning--pedestrians-crossing--g11,26,23,63.4
regulatory--no-motor-vehicles--g1,26,25,89.3
information--parking--g45,25,23,63.9
regulatory--no-straight-through--g2,25,25,38.4
regulatory--maximum-speed-limit-50--g6,25,25,34.1
regulatory--no-heavy-goods-vehicles-or-buses--g1,25,22,74.1
information--stairs--g1,24,18,40.3
regulatory--maximum-speed-limit-15--g1,24,23,52.9
regulatory--no-motor-vehicles--g4,23,23,83.5
warning--pedestrian-stumble-train--g1,22,16,87.1
regulatory--bicycles-only--g2,22,21,55.2
regulatory--no-left-turn--g3,22,22,76.0
warning--turn-right--g2,22,22,60.5
warning--hairpin-curve-left--g3,22,20,52.7
warning--equestrians-crossing--g2,22,21,76.9
regulatory--dual-path-pedestrians-and-bicycles--g1,21,21,50.2
complementary--maximum-speed-limit-50--g1,20,17,57.1
information--lodging--g1,19,19,60.5
information--end-of-living-street--g1,19,19,97.9
regulatory--no-pedestrians--g3,19,17,55.3
warning--traffic-merges-left--g2,19,18,63.0
warning--pass-left-or-right--g1,19,19,72.3
warning--playground--g3,19,19,59.8
warning--traffic-signals--g4,18,18,57.8
warning--uneven-roads-ahead--g1,18,18,83.2
warning--shared-lane-motorcycles-bicycles--g1,18,18,81.8
warning--railroad-crossing-with-barriers--g4,18,16,100.2
regulatory--shared-path-bicycles-and-pedestrians--g1,18,17,72.4
regulatory--maximum-speed-limit-40--g6,17,16,53.2
warning--railroad-intersection--g4,17,17,44.3
regulatory--no-pedestrians-or-bicycles--g1,17,17,121.9
regulatory--dual-lanes-turn-left-or-straight--g1,17,14,28.6
regulatory--no-hawkers--g1,16,15,62.5
warning--junction-with-a-side-road-perpendicular-left--g4,16,15,82.3
warning--loop-270-degree--g1,15,11,46.1
information--end-of-limited-access-road--g1,15,14,30.5
information--minimum-speed-40--g1,15,15,46.1
regulatory--do-not-stop-on-tracks--g1,15,15,88.3
warning--offset-roads--g3,14,14,40.0
regulatory--dual-lanes-turn-right-or-straight--g1,14,11,32.2
warning--restricted-zone--g1,14,7,46.6
regulatory--end-of-buses-only--g1,14,14,69.3
regulatory--detour-left--g1,14,14,87.4
warning--pedestrians-crossing--g12,13,13,65.0
regulatory--roundabout--g2,13,13,67.1
warning--roadworks--g6,13,13,74.7
regulatory--no-right-turn--g3,12,10,81.7
information--central-lane--g1,12,11,53.0
information--no-parking--g3,12,12,102.7
information--camp--g1,12,12,50.6
information--gas-station--g3,11,10,75.6
regulatory--dual-lanes-turn-left-no-u-turn--g1,11,11,46.2
regulatory--truck-speed-limit-60--g1,10,10,44.9
regulatory--weight-limit-with-trucks--g1,10,10,65.4
warning--hairpin-curve-right--g4,9,9,86.1
information--end-of-pedestrians-only--g2,9,9,107.1
complementary--accident-area--g3,8,7,42.9
information--highway-interstate-route--g2,6,6,75.5
warning--horizontal-alignment-right--g3,6,6,61.7
regulatory--end-of-maximum-speed-limit-70--g1,5,5,63.7
regulatory--turning-vehicles-yield-to-pedestrians--g1,5,5,55.8
information--dead-end-except-bicycles--g1,3,3,95.0
